Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;S3;I;3;CURITIBA;PR;09/2018;0;0;0;616.789;0;616.789;0;701.821;16.413;138.743;0;0;856.977;5.306.201;6.779.968;3.083;167.381;6.950.432;197.125;1.426.866;8.574.423
NU PAGAMENTOS S.A.;18236120;n4;;I;2;SAO PAULO;SP;09/2018;0;0;0;0;1.546.541;1.546.541;0;0;0;0;0;0;0;391.914;1.938.455;0;5.778.157;7.716.612;34.659;784.294;8.535.565
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;S3;I;2;BRASILIA;DF;09/2018;0;0;209.576;0;991.870;1.201.446;0;394.016;0;0;0;0;394.016;0;1.595.461;0;114.379;1.709.840;0;6.671.683;8.381.523
BANCO CSF S.A.;8357240;b2;S3;I;3;SAO PAULO;SP;09/2018;5.980;0;0;0;0;5.980;0;0;0;1.183.064;0;0;1.183.064;0;1.189.044;0;4.859.113;6.048.156;0;2.238.722;8.286.878
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;09/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.838.787;7.838.787;0;228.801;8.067.588
BANCO CLASSICO S.A.;31597552;b1;S3;I;2;RIO DE JANEIRO;RJ;09/2018;63;0;0;0;0;63;975.201;0;0;0;0;0;0;0;975.264;0;1.399.221;2.374.485;0;5.253.402;7.627.887
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;09/2018;85;0;0;2.092.932;686;2.093.704;0;0;0;0;0;0;0;40.985;2.134.689;0;5.037.144;7.171.833;0;353.381;7.525.213
STANDARD CHARTERED BANK (BRASIL) S.A. - BANCO DE INVESTIMENTO;11932017;b2;S4;I;3;SAO PAULO;SP;09/2018;0;0;0;1.420.298;0;1.420.298;0;0;0;0;0;0;0;672.781;2.093.080;202.292;4.903.175;7.198.547;0;310.128;7.508.675
JOHN DEERE;50071;b1;S4;C;3;INDAIATUBA;SP;09/2018;72.436;0;256.416;49.577;0;378.429;0;0;0;0;0;0;0;5.774.534;6.152.963;375;105.035;6.258.373;6.109;1.095.648;7.360.130
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;S4;I;1;BELEM;PA;09/2018;637.570;946.776;286.197;3.394.070;0;5.264.613;419.626;0;0;92.653;0;0;92.653;386;5.777.278;0;323.149;6.100.427;0;1.163.983;7.264.410
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;S4;I;3;SAO PAULO;SP;09/2018;0;0;503.336;210.903;0;714.240;1.500;0;0;1.869.376;0;0;1.869.376;3.212.440;5.797.555;67.094;536.847;6.401.496;47.736;742.885;7.192.117
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;S3;I;3;SAO PAULO;SP;09/2018;71.033;0;0;2.103.123;954;2.175.110;0;0;0;0;0;0;0;2.331.570;4.506.680;131.626;1.544.157;6.182.463;4.144;984.427;7.171.034
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;09/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;256.039;256.039;0;6.395.447;6.651.486;0;511.322;7.162.808
PORTO SEGURO;51444;n1;S4;C;2;SAO PAULO;SP;09/2018;0;0;758.260;0;0;758.260;0;0;0;1.047.880;0;0;1.047.880;165.348;1.971.488;0;4.293.125;6.264.613;0;654.241;6.918.854
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;S3;I;1;BELO HORIZONTE;MG;09/2018;412;0;78.660;61.161;0;140.232;0;0;296.374;51.852;0;0;348.226;3.910.686;4.399.144;126;614.349;5.013.619;11.420;1.753.216;6.778.255
BANCO FIBRA S.A.;58616418;b1;S3;I;2;SAO PAULO;SP;09/2018;51.159;0;5.208;3.823.409;0;3.879.776;134.857;197.957;253.232;722;0;0;451.911;340.009;4.806.555;65.680;669.690;5.541.925;8.110;989.854;6.539.889
BOCOM;52003;b1;S4;C;3;SALVADOR;BA;09/2018;238.161;0;3.528;839.979;0;1.081.667;127.646;99.489;1.361.749;1.458.665;189.513;0;3.109.416;589.394;4.908.124;84.266;313.205;5.305.595;9.398;605.146;5.920.138
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;S4;I;3;SAO PAULO;SP;09/2018;382;0;0;357.174;0;357.556;44.006;0;0;892;0;0;892;1.752.868;2.155.322;876.243;1.700.552;4.732.117;43;1.044.987;5.777.148
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;09/2018;560.974;0;0;1.898.659;23.679;2.483.312;0;0;976.999;0;0;0;976.999;1.592;3.461.903;0;678.371;4.140.274;0;1.494.875;5.635.149
PARANÁ BANCO;30881;b1;S4;C;2;CURITIBA;PR;09/2018;6.009;0;102.264;1.976.218;0;2.084.491;29.345;29.722;0;1.906.647;0;0;1.936.368;8.372;4.058.577;0;159.507;4.218.084;0;1.383.032;5.601.116
SOFISA;31873;b1;S4;C;2;SAO PAULO;SP;09/2018;190.136;0;34.548;3.088.823;0;3.313.507;368.378;154.140;59.516;502.371;20.757;0;736.785;126.418;4.545.087;48;284.907;4.830.041;830;735.730;5.566.601
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;S4;I;3;PORTO ALEGRE;RS;09/2018;0;0;0;86.313;0;86.313;0;0;0;0;0;0;0;4.182.464;4.268.777;0;230.768;4.499.545;102.697;911.843;5.514.085
CREFISA;52010;b1;S4;C;2;SAO PAULO;SP;09/2018;11.454;0;0;15.739;3.551;30.744;0;0;0;0;0;0;0;2.749;33.492;0;517.182;550.674;3;4.828.274;5.378.951
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;09/2018;0;0;0;1.568;0;1.568;0;0;0;0;0;0;0;0;1.568;0;5.025.384;5.026.952;0;210.610;5.237.562
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;S4;I;1;ARACAJU;SE;09/2018;635.863;1.327.789;170.821;2.064.512;215;4.199.201;25.656;46.114;0;50.392;0;0;96.506;69.545;4.390.907;0;393.448;4.784.355;11.826;400.666;5.196.847
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;09/2018;0;0;0;4.711.780;0;4.711.780;0;0;0;0;0;0;0;0;4.711.780;0;172.708;4.884.488;0;266.890;5.151.378
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;09/2018;512.158;0;102.883;2.856.448;31.390;3.502.880;0;0;0;0;0;0;0;2.535;3.505.415;0;330.530;3.835.945;0;1.287.366;5.123.312
BANCO FIDIS S/A;62237425;b2;S4;I;3;BETIM;MG;09/2018;0;0;891.387;1.507.095;0;2.398.482;0;993.856;0;589.386;0;0;1.583.243;5.526;3.987.251;151;417.479;4.404.881;34;690.011;5.094.926
GRUPO BONSUCESSO - BS2;52034;b1;S4;C;2;BELO HORIZONTE;MG;09/2018;21.307;0;180.505;1.623.252;155;1.825.219;23.694;95.511;0;1.499;0;0;97.010;2.006;1.947.929;0;2.798.026;4.745.955;138;316.191;5.062.284
INTER;51884;b1;S4;C;2;BELO HORIZONTE;MG;09/2018;468.460;22.007;41;1.515.785;33.461;2.039.754;24.434;1.542.124;0;12.191;0;0;1.554.315;32.311;3.650.815;5.016;402.990;4.058.821;11.625;936.337;5.006.782
