Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;09/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;4.682.125;4.682.125;3.503;370.915;5.056.543;4.921;798.086;5.859.551
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;09/2014;25.299;0;198.513;2.158.115;0;2.381.927;71.251;21.626;0;1.656.645;0;0;1.678.271;92.416;4.223.865;0;102.171;4.326.036;37;1.366.034;5.692.107
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;09/2014;0;0;248.713;2.365.503;0;2.614.216;0;0;0;1.363.887;0;0;1.363.887;968.836;4.946.940;5.285;85.691;5.037.916;12.435;551.873;5.602.223
ING;51073;b1;;C;3;SAO PAULO;SP;09/2014;269;0;0;424.420;0;424.689;135.000;0;32.532;0;0;0;32.532;3.561.997;4.154.218;39.302;484.255;4.677.775;495;852.716;5.530.987
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;09/2014;0;0;0;0;539.521;539.521;0;0;0;0;0;0;0;0;539.521;0;140.125;679.645;0;4.819.253;5.498.898
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;09/2014;56.002;0;15.778;2.149.613;0;2.221.392;338.461;112.968;1.399.074;24.790;0;0;1.536.832;435.064;4.531.749;24.760;262.826;4.819.335;3.706;672.760;5.495.801
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;09/2014;0;0;60.071;330.384;0;390.455;411.406;0;0;0;0;0;0;814.181;1.616.041;1.801.486;941.574;4.359.101;0;1.042.048;5.401.149
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;09/2014;13.976;0;173.666;515.149;0;702.791;0;0;0;0;0;0;0;3.677.189;4.379.980;0;219.987;4.599.967;52.645;655.315;5.307.927
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;09/2014;795.106;724.062;169.925;2.339.131;0;4.028.225;169.068;0;0;234.911;0;0;234.911;2.018;4.434.221;0;216.635;4.650.856;0;517.151;5.168.008
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;;I;3;SAO PAULO;SP;09/2014;0;0;328.830;118.031;0;446.861;12.999;0;0;849.326;0;0;849.326;2.505.504;3.814.689;5.811;415.792;4.236.293;21.508;522.373;4.780.174
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;09/2014;0;0;121.875;0;0;121.875;46.267;0;0;0;0;0;0;0;168.142;0;3.163.361;3.331.503;0;1.110.130;4.441.632
SOFISA;31873;b1;;C;2;SAO PAULO;SP;09/2014;133.547;0;22.024;2.018.509;0;2.174.079;235.433;79.861;73.416;19.685;47.094;0;220.055;189.943;2.819.510;828;921.323;3.741.660;66;661.557;4.403.283
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;09/2014;0;0;493.851;0;0;493.851;0;0;0;100.129;0;0;100.129;2.958.735;3.552.714;0;48.675;3.601.389;27.953;668.914;4.298.257
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;09/2014;0;0;0;0;0;0;0;0;0;0;0;0;0;3.287.345;3.287.345;0;139.438;3.426.783;84;817.508;4.244.376
