Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;03/2015;1.628.795;1.180.961;1.247.253;1.168.948;381.542;21.127;0;5
FATOR;50122;b1;;C;2;SAO PAULO;SP;03/2015;1.599.394;149.803;1.243.610;1.149.182;355.783;-27.414;4;0
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;;I;2;FRANCISCO BELTRAO;PR;03/2015;1.576.744;19.527;1.520.081;1.063.814;56.663;315;0;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;;I;2;MARINGA;PR;03/2015;1.569.017;973.730;1.362.707;878.063;206.310;6.519;0;73
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;;I;1;CURITIBA;PR;03/2015;1.548.220;857.389;139.131;82.641;1.409.089;16.199;1;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;;I;2;CAMPO MOURAO;PR;03/2015;1.527.629;721.940;1.192.857;1.139.198;334.772;21.184;0;39
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;;I;1;VITORIA;ES;03/2015;1.508.704;1.073.610;1.240.528;869.217;268.176;3.339;1;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;;I;1;SAO PAULO;SP;03/2015;1.423.831;1.020.162;372.833;333.733;1.050.998;19.930;0;0
RENDIMENTO;51468;b1;;C;2;SAO PAULO;SP;03/2015;1.413.626;392.266;1.185.087;653.641;228.539;7.935;12;1
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;;I;2;NOVA PETROPOLIS;RS;03/2015;1.406.869;626.174;1.175.674;1.070.355;231.195;10.124;0;42
BMW;51420;n1;;C;3;SAO PAULO;SP;03/2015;1.366.826;1.240.474;1.074.113;897.402;292.713;7.671;2;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;;I;2;MEDIANEIRA;PR;03/2015;1.287.481;818.614;1.084.981;764.927;202.500;9.793;0;41
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE BELO HORIZONTE E CIDADES PÓLO DE MINAS GERAIS LTDA.;42898825;b3S;;I;2;BELO HORIZONTE;MG;03/2015;1.278.811;392.303;1.125.206;1.098.168;153.605;8.345;0;34
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE/NORDESTE - UNICRED CENTRAL NORTE/NORDESTE;70119680;b3C;;I;2;CABEDELO;PB;03/2015;1.260.035;98.809;1.153.907;0;106.128;3.150;0;0
COOPERATIVA CENTRAL DE CRÉDITO URBANO - CECRED;5463212;b3C;;I;2;BLUMENAU;SC;03/2015;1.237.364;117.487;1.099.690;1.004.011;137.674;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;;I;2;SORRISO;MT;03/2015;1.223.402;606.908;1.034.856;641.848;188.546;8.113;0;15
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;;I;2;CERRO LARGO;RS;03/2015;1.187.567;706.243;984.386;691.262;203.181;6.970;0;42
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;;I;3;BARUERI;SP;03/2015;1.170.663;1.160.162;701.320;551.660;469.343;-296;3;0
BANIF;20255;b1;;C;3;SAO PAULO;SP;03/2015;1.117.576;467.307;932.697;788.016;184.879;-24.246;13;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89126130;b3S;;I;2;ENCANTADO;RS;03/2015;1.108.123;319.872;901.102;808.766;207.021;12.344;0;21
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2398976;b3S;;I;2;LONDRINA;PR;03/2015;1.093.143;503.126;748.461;715.553;344.683;17.448;0;23
COOPERATIVA CENTRAL DE CRÉDITO DE GOIÁS LTDA;33416108;b3C;;I;2;GOIANIA;GO;03/2015;1.081.942;13.147;1.001.804;0;80.138;1.875;0;1
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;;I;2;PALOTINA;PR;03/2015;1.073.098;572.098;914.824;601.592;158.273;14.141;0;41
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;;I;2;VITORIA;ES;03/2015;1.043.754;40.035;947.479;178.274;96.274;2.380;0;0
DACASA FINANCEIRA;51891;n1;;C;2;VITORIA;ES;03/2015;1.032.036;715.970;908.008;594.546;124.027;5.278;46;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;;I;1;SALVADOR;BA;03/2015;1.022.852;566.977;517.666;445.527;505.186;13.472;1;0
CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB;5036532;b3C;;I;2;MARINGA;PR;03/2015;1.022.527;24.604;927.646;0;94.881;1.406;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;;I;2;CARLOS BARBOSA;RS;03/2015;1.017.398;441.866;884.223;761.689;133.175;9.991;0;28
BANCO GUANABARA S.A.;31880826;b1;;I;2;RIO DE JANEIRO;RJ;03/2015;989.017;386.470;857.535;836.120;131.482;481;1;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;;I;1;FLORIANOPOLIS;SC;03/2015;970.668;694.948;430.670;385.657;539.998;9.779;1;0
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL SC/RS;7202627;b3C;;I;2;CHAPECO;SC;03/2015;967.269;2.859;919.670;623.762;47.600;793;0;0
