Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;S4;I;3;SAO PAULO;SP;09/2019;17.919;1.199.996;385.399;6.708.829;-96.861;6.611.968;277;68.449;19.368;-410;87.684;393.265;29.078;9.616;8.734.925;19.368;8.715.557
JOHN DEERE;50071;b1;S3;C;3;INDAIATUBA;SP;09/2019;1.365;73.293;0;8.453.321;-323.215;8.130.106;0;0;0;0;0;194.800;49.360;9.794;8.458.718;0;8.458.718
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;S3;I;1;BELEM;PA;09/2019;176.572;1.667.992;878.681;4.531.756;-149.630;4.382.125;0;0;0;0;0;548.921;412.792;202.032;8.269.114;0;8.269.114
BOCOM;52003;b1;S4;C;3;SALVADOR;BA;09/2019;224.803;933.098;2.097.007;3.795.236;-32.378;3.762.858;0;0;0;0;0;629.387;64.567;116.621;7.828.341;0;7.828.341
PORTO SEGURO;51444;n1;S4;C;2;SAO PAULO;SP;09/2019;34.319;0;196.928;2.429.813;-371.439;2.058.374;0;0;0;0;0;4.859.918;15.739;1.119;7.166.398;0;7.166.398
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;09/2019;21;5.006.178;1.529.549;80.069;-794;79.275;0;0;0;0;0;28.556;92.855;396.356;7.132.790;0;7.132.790
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;09/2019;11;5.136.933;1.370.072;80.620;-97;80.523;0;0;0;0;0;20.319;100.918;243.618;6.952.393;0;6.952.393
BANCO FIBRA S.A.;58616418;b1;S3;I;2;SAO PAULO;SP;09/2019;42.482;365.754;1.538.098;1.962.941;-129.682;1.833.259;0;0;0;0;0;2.707.308;290.403;23.330;6.800.634;0;6.800.634
MIZUHO;51554;b1;S4;I;3;SAO PAULO;SP;09/2019;6.108;1.724.635;2.376.247;705.982;-1.536;704.446;0;0;0;0;0;1.799.045;14.708;6.294;6.631.482;0;6.631.482
BANCO FIDIS S/A;62237425;b2;S4;I;3;BETIM;MG;09/2019;2.401;282.993;979;4.309.123;-37.749;4.271.375;0;0;0;0;0;1.871.962;2.747;6.542;6.438.998;0;6.438.998
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;S3;I;1;BELO HORIZONTE;MG;09/2019;8.981;57.104;1.268.947;4.500.518;-463.471;4.037.047;0;0;0;0;0;732.305;60.475;32.370;6.197.228;0;6.197.228
SOFISA;31873;b1;S4;C;2;SAO PAULO;SP;09/2019;8.234;50.114;2.013.200;3.231.574;-51.947;3.179.627;0;0;0;0;0;727.560;129.291;80.731;6.188.756;0;6.188.756
CREFISA;52010;b1;S4;C;2;SAO PAULO;SP;09/2019;5.576;1.652.355;2.246.172;2.225.360;-692.838;1.532.522;0;0;0;0;0;655.908;18.379;45.448;6.156.359;0;6.156.359
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;09/2019;27.021;713.848;2.089.617;3.092.837;-176.399;2.916.437;0;0;0;0;0;134.761;30.928;243.278;6.155.889;0;6.155.889
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;S4;I;3;SAO PAULO;SP;09/2019;7.430;3.389.605;642.799;1.614.119;-83;1.614.036;0;0;0;0;0;490.648;842;6.152;6.151.511;0;6.151.511
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;09/2019;24.557;0;0;3.061.476;-196.393;2.865.083;0;0;0;0;0;39.613;2.622.516;313.322;5.865.092;0;5.865.092
ADIQ SOLUCOES DE PAGAMENTO S.A.;20520298;n4;;I;2;BELO HORIZONTE;MG;09/2019;262.311;0;198.736;0;0;0;0;0;0;0;0;22.236;5.330.122;25.900;5.839.304;0;5.839.304
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;S4;I;3;PORTO ALEGRE;RS;09/2019;46;33.687;0;4.769.576;-121.514;4.648.063;283;611.745;195.611;-2.885;804.755;458.990;27.657;13.981;5.987.178;195.611;5.791.567
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;09/2019;162;3.364.081;1.960.941;285.152;-2.395;282.757;0;0;0;0;0;4.396;159;168.921;5.781.416;0;5.781.416
PARANÁ BANCO;30881;b1;S4;C;2;CURITIBA;PR;09/2019;383;1.063.146;603.914;3.512.549;-144.506;3.368.043;0;0;0;0;0;160.273;5.233;526.800;5.727.793;0;5.727.793
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;S4;I;1;ARACAJU;SE;09/2019;86.814;1.117.931;1.075.583;2.289.728;-84.719;2.205.009;0;0;0;0;0;518.017;422.045;105.736;5.531.137;0;5.531.137
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;09/2019;24;4.726.417;340.659;0;0;0;0;0;0;0;0;1.527;3.325;217.125;5.289.078;0;5.289.078
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;S4;I;2;SAO PAULO;SP;09/2019;1.143;524.847;618.108;2.550.636;-1.018.154;1.532.482;0;0;0;0;0;2.513.746;0;50.580;5.240.906;0;5.240.906
HONDA;51396;b2;S4;C;3;SAO PAULO;SP;09/2019;14.505;217.694;729.222;3.935.101;-237.786;3.697.315;0;483;483;0;966;350.583;4.957;7.611;5.022.854;483;5.022.371
BANCO VOLVO BRASIL S.A.;58017179;b2;S4;I;3;CURITIBA;PR;09/2019;15.822;77.344;0;4.200.395;-97.425;4.102.970;1.594;53.628;106;-97;55.231;85.036;1.371;72.083;4.409.858;106;4.409.752
HAITONG;51482;b2;S3;C;3;SAO PAULO;SP;09/2019;8.443;1.508.989;2.049.089;286.411;-12.805;273.606;0;0;0;0;0;399.328;2.079;164.198;4.405.732;0;4.405.732
BANCO CARGILL S.A.;3609817;b1;S4;I;3;SAO PAULO;SP;09/2019;58.212;23.496;280.429;1.374.421;-67.801;1.306.620;0;0;0;0;0;2.664.960;324;114;4.334.155;0;4.334.155
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S4;I;2;BLUMENAU;SC;09/2019;130;996.513;2.749.354;83.643;-819;82.824;0;0;0;0;0;36.367;330.754;53.606;4.249.547;0;4.249.547
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE;33667205;b3C;S4;I;2;CUIABA;MT;09/2019;1;215.613;3.489.310;0;0;0;0;0;0;0;0;73.851;54;48.316;3.827.144;0;3.827.144
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;09/2019;14.584;149.635;890.899;2.551.403;-132.452;2.418.951;0;0;0;0;0;123.321;82.187;107.371;3.786.948;0;3.786.948
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S4;I;2;FRANCISCO BELTRAO;PR;09/2019;4.384;12.728;975.126;6.483;-96;6.387;0;0;0;0;0;2.549;2.721.572;46.649;3.769.393;0;3.769.393
SCANIA BANCO S.A.;11417016;b2;S4;I;3;SAO BERNARDO DO CAMPO;SP;09/2019;388;15.600;717;3.651.479;-38.419;3.613.060;5;51.968;2.312;-339;53.947;67.054;0;3.074;3.753.839;2.312;3.751.527
GRUPO BONSUCESSO - BS2;52034;b1;S4;C;2;BELO HORIZONTE;MG;09/2019;195.967;189.999;993.820;370.079;-20.987;349.092;0;0;0;0;0;526.748;1.271.571;137.618;3.664.815;0;3.664.815
OMNI;50940;b1;S4;C;2;SAO PAULO;SP;09/2019;2.894;357.999;148.481;2.729.681;-475.096;2.254.585;153;65.275;31.678;-1.898;95.209;683.404;45.156;59.015;3.646.742;31.678;3.615.064
MODAL;51963;b1;S4;C;2;RIO DE JANEIRO;RJ;09/2019;82.416;1.003.950;1.453.179;276.473;-3.795;272.678;0;0;0;0;0;346.741;309.951;141.507;3.610.423;0;3.610.423
HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;53518684;b2;S4;I;3;SAO PAULO;SP;09/2019;23.920;910.156;1.423.694;0;0;0;0;0;0;0;0;1.216.810;476;34.969;3.610.025;0;3.610.025
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;09/2019;56.977;12.820;0;2.120.838;-119.665;2.001.173;0;0;0;0;0;161.672;1.178.751;185.008;3.596.402;0;3.596.402
