Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;S4;9;MEDIANEIRA;PR;06/2018;1.309.314;313;495.372;482.109;209.553;61.666;20.585;9.344;8.295;22.077;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;S4;19;BARUERI;SP;06/2018;1.239.280;2.701;66.382;666.875;303.946;66.307;37.245;34.528;13.463;47.833;0
BANCO ABN AMRO S.A.;3.532.415;b1;I;3;S4;8;SAO PAULO;SP;06/2018;1.202.707;416.556;786.152;0;0;0;0;0;0;0;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;06/2018;1.199.679;0;862.366;59.634;40.635;41.263;31.647;36.227;22.994;104.913;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;S5;9;CHAPECO;SC;06/2018;1.198.300;22.027;346.436;459.580;212.418;41.869;23.487;15.963;20.171;56.349;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;S4;30;SAO PAULO;SP;06/2018;1.197.872;400.526;302.454;192.757;125.330;41.221;47.141;37.152;13.387;37.904;0
BANCO RODOBENS S.A.;33.603.457;b1;I;2;S4;8;SAO PAULO;SP;06/2018;1.159.822;88.232;841.345;78.059;86.286;30.035;25.984;2.371;1.476;6.034;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;S4;30;CURITIBA;PR;06/2018;1.133.407;165.989;733.164;126.867;66.315;12.096;7.173;4.500;4.353;12.949;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81.099.491;b3S;I;2;S4;9;PALOTINA;PR;06/2018;1.115.473;5;385.181;459.227;154.481;60.219;17.918;8.457;6.350;23.635;0
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28.145.829;b4;I;1;S4;5;VITORIA;ES;06/2018;1.060.027;57.122;552.977;197.125;82.049;58.268;27.028;19.569;12.306;53.584;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;S5;9;GOIANIA;GO;06/2018;1.047.399;73.908;495.477;356.483;48.995;13.071;20.740;8.646;5.222;24.857;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88.894.548;b3S;I;2;S4;9;CERRO LARGO;RS;06/2018;1.042.089;51;374.991;339.965;210.483;44.518;13.512;13.581;7.467;37.521;0
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;S4;8;SAO PAULO;SP;06/2018;1.040.302;0;398.382;420.544;108.446;80.717;5.669;2.245;5.981;18.318;0
BANCO FORD S.A.;90.731.688;b2;I;3;S4;8;SAO PAULO;SP;06/2018;1.008.558;0;543.694;204.042;113.283;145.931;223;32;0;1.353;0
BANCO CBSS S.A.;27.098.060;b2;I;3;S4;8;BARUERI;SP;06/2018;933.124;0;536.049;26.376;206.028;38.674;24.987;13.408;12.289;75.315;0
BANCO A.J. RENNER S.A.;92.874.270;b1;I;2;S4;8;PORTO ALEGRE;RS;06/2018;931.504;0;749.618;52.607;44.181;22.023;12.705;9.375;7.105;33.891;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81.723.108;b3S;I;2;S4;9;CAMPO MOURAO;PR;06/2018;925.885;15.677;483.397;355.692;39.295;15.475;6.281;1.984;2.099;5.986;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32.430.233;b3S;I;2;S5;9;LINHARES;ES;06/2018;912.553;12.085;149.485;268.473;311.623;41.772;15.637;25.048;21.858;66.573;0
GRUPO BONSUCESSO - BS2;52.034;b1;C;2;S4;199;BELO HORIZONTE;MG;06/2018;909.568;171.608;585.394;78.470;47.115;3.247;1.154;16.303;4.979;1.297;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91.586.982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;06/2018;900.173;0;283.929;352.334;178.067;37.644;13.573;10.370;6.640;17.615;0
BANCO YAMAHA MOTOR DO BRASIL S.A.;10.371.492;b2;I;3;S4;8;GUARULHOS;SP;06/2018;862.442;1.244;1.905;560.155;228.283;17.266;9.862;8.534;7.382;27.812;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42.898.825;b3S;I;2;S4;9;BELO HORIZONTE;MG;06/2018;858.723;998;310.186;219.168;257.996;49.239;14.448;2.242;1.132;3.314;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90.608.712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;06/2018;834.508;3;273.456;310.585;154.914;57.570;15.856;6.922;2.468;12.734;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87.780.268;b3S;I;2;S4;9;ERECHIM;RS;06/2018;833.032;124;237.000;339.434;168.562;45.795;17.304;7.582;5.485;11.745;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26.408.161;b3S;I;2;S4;9;DOURADOS;MS;06/2018;816.858;7;298.813;309.049;144.800;25.955;9.425;8.632;6.583;13.594;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33.021.064;b3S;I;2;S4;9;CANARANA;MT;06/2018;812.088;1.017;170.651;335.932;205.802;40.325;18.360;15.803;7.101;17.098;0
MIZUHO;51.554;b1;I;3;S4;199;SAO PAULO;SP;06/2018;808.851;703.715;0;0;0;0;0;0;0;0;105.136
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815.319;b3S;I;2;S5;9;VENDA NOVA DO IMIGRANTE;ES;06/2018;801.753;8.116;170.449;345.706;150.897;53.782;15.626;6.387;31.017;19.772;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3.632.872;b3S;I;2;S5;9;VILHENA;RO;06/2018;767.558;11.586;367.322;271.818;83.565;7.342;3.921;4.129;5.242;12.634;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87.733.077;b3S;I;2;S4;9;ITAQUI;RS;06/2018;761.238;3.882;178.369;306.800;145.443;86.236;8.298;8.946;4.574;18.690;0
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2.398.976;b3S;I;2;S4;9;LONDRINA;PR;06/2018;748.583;0;427.434;233.387;50.217;2.545;19.975;4.909;716;9.399;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31.815.293;b3S;I;2;S5;9;SAO GABRIEL DA PALHA;ES;06/2018;735.903;4.537;98.186;336.493;118.919;40.179;20.903;25.916;36.147;54.623;0
DACASA FINANCEIRA;51.891;n1;C;2;S4;197;VITORIA;ES;06/2018;734.136;0;428.567;34.958;32.008;26.436;23.517;25.494;26.244;136.912;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15.163.587;n1;I;1;S4;30;SALVADOR;BA;06/2018;733.331;183.558;132.565;235.158;110.117;9.507;4.826;970;9.276;47.354;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PLANALTO   SICREDI PLANALTO RS/SC;88.038.260;b3S;I;2;S4;9;CRUZ ALTA;RS;06/2018;718.850;0;130.315;253.839;232.223;56.231;9.674;8.582;6.604;21.381;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81.466.286;b3S;I;2;S4;9;PONTA GROSSA;PR;06/2018;703.554;210;301.649;248.728;82.505;33.153;12.100;6.949;4.510;13.750;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32.995.755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;06/2018;696.279;530;272.321;236.700;93.762;37.726;12.531;10.794;5.781;26.133;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO - SICOOB CREDICOONAI;53.923.116;b3S;I;2;S4;9;RIBEIRAO PRETO;SP;06/2018;681.961;2.960;428.841;127.021;38.335;5.782;48.532;3.505;603;26.382;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82.937.293;n1;I;1;S4;30;FLORIANOPOLIS;SC;06/2018;662.056;184.492;217.874;150.306;35.962;13.709;7.201;3.595;171;48.748;0
COOPERATIVA DE CRÉDITO SICREDI JOÃO PESSOA;35.571.249;b3S;I;2;S5;9;JOAO PESSOA;PB;06/2018;660.761;0;341.824;123.445;96.344;41.426;20.803;7.258;6.631;23.029;0
BOFA MERRILL LYNCH;51.255;b1;C;3;S3;199;SAO PAULO;SP;06/2018;660.492;641.476;1.717;16.273;1.026;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95.594.941;b3S;I;2;S4;9;SANTA MARIA;RS;06/2018;636.686;0;176.970;266.674;108.638;22.465;16.696;7.451;8.206;29.587;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.;2.015.588;b3S;I;2;S5;9;PIMENTA BUENO;RO;06/2018;628.586;7.977;199.396;284.764;94.145;13.803;10.816;5.796;3.279;8.610;0
RENDIMENTO;51.468;b1;C;2;S4;199;SAO PAULO;SP;06/2018;628.120;0;448.319;77.719;59.135;20.108;1.511;1.400;8.704;11.226;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.313.766;n1;I;2;S4;14;SAO PAULO;SP;06/2018;626.313;0;289.944;90.059;145.736;58.979;8.486;5.349;13.715;14.046;0
BANCO MONEO S.A.;7.441.209;b2;I;2;S4;8;CAXIAS DO SUL;RS;06/2018;606.181;42.344;193.003;189.262;87.261;34.106;7.471;14.512;15.938;22.283;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO;32.983.165;b3S;I;2;S4;9;CAMPO VERDE;MT;06/2018;605.414;0;162.253;165.373;145.723;63.614;24.945;25.990;1.887;15.629;0
