Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;12/2015;2.342.929;1.560.813;1.985.309;1.111.172;357.620;19.787;355.728;15,66%;2,92%;0;27
SOCOPA - PRUDENCIAL;1000080381;b1;;C;2;SAO PAULO;SP;12/2015;2.244.840;402.631;2.048.745;1.555.861;196.095;31.309;185.212;15,81%;4,78%;2;0
SCANIA - PRUDENCIAL;1000080776;b2;;C;3;SAO BERNARDO DO CAMPO;SP;12/2015;2.165.819;1.747.820;1.898.781;1.663.610;267.037;18.302;326.415;15,23%;1,73%;1;0
CAIXA GERAL - PRUDENCIAL;1000080927;b1;;C;3;SAO PAULO;SP;12/2015;2.143.992;798.602;1.830.509;1.546.543;313.483;-29.344;312.766;16,45%;2,02%;3;0
BONSUCESSO - PRUDENCIAL;1000080422;b1;;I;2;BELO HORIZONTE;MG;12/2015;2.127.326;428.471;1.654.253;1.062.951;473.073;21.346;364.264;17,57%;18,00%;2;0
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;;C;2;RIO DE JANEIRO;RJ;12/2015;1.931.801;522.140;1.679.969;1.261.419;251.832;22.074;305.866;14,57%;4,09%;3;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;;I;2;LUCAS DO RIO VERDE;MT;12/2015;1.819.432;1.224.537;1.447.308;783.756;372.124;39.558;372.716;22,23%;5,87%;0;28
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;;I;2;FRANCISCO BELTRAO;PR;12/2015;1.789.142;9.544;1.724.623;1.213.709;64.519;111;64.519;12,32%;23,58%;0;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;12/2015;1.775.352;1.282.994;1.398.837;1.282.860;376.514;35.760;376.460;26,51%;1,75%;0;5
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;;I;2;CAMPO MOURAO;PR;12/2015;1.765.365;929.012;1.373.754;1.239.981;391.611;48.210;391.611;37,96%;0,04%;0;40
BMW - PRUDENCIAL;1000080635;n1;;C;3;SAO PAULO;SP;12/2015;1.764.983;1.576.736;1.467.965;1.226.805;297.018;12.611;256.258;17,30%;0,46%;2;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;;I;2;MARINGA;PR;12/2015;1.722.210;1.036.972;1.495.548;1.001.735;226.662;11.764;224.141;17,38%;21,30%;0;72
COOPERATIVA CENTRAL DE CRÉDITO URBANO - CECRED;5463212;b3C;;I;2;BLUMENAU;SC;12/2015;1.706.717;118.771;1.540.489;1.459.758;166.229;0;162.774;64,38%;8,53%;0;0
AF PARANÁ - PRUDENCIAL;1000081115;n1;;I;1;CURITIBA;PR;12/2015;1.625.812;928.880;184.735;116.803;1.441.078;34.478;340.003;98,39%;0,43%;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;;I;2;NOVA PETROPOLIS;RS;12/2015;1.610.806;612.251;1.347.400;1.221.122;263.405;32.240;261.104;29,49%;8,65%;0;41
BCO FORD S.A. - PRUDENCIAL;1000081782;b2;;I;3;SAO PAULO;SP;12/2015;1.602.065;1.048.444;1.382.833;1.341.229;219.232;12.252;219.232;14,53%;0,00%;1;0
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE/NORDESTE - UNICRED CENTRAL NORTE/NORDESTE;70119680;b3C;;I;2;CABEDELO;PB;12/2015;1.596.724;99.216;1.480.316;0;116.408;8.340;116.085;48,29%;4,25%;0;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42898825;b3S;;I;2;BELO HORIZONTE;MG;12/2015;1.502.786;457.570;1.318.045;1.273.884;184.742;19.502;184.248;22,65%;3,79%;0;33
BCO DES. DO ES S.A. - PRUDENCIAL;1000081304;b4;;I;1;VITORIA;ES;12/2015;1.500.750;1.052.609;1.149.535;841.449;351.216;5.600;198.654;19,26%;7,50%;1;0
AF DESENVOLVE SP S.A. - PRUDENCIAL;1000081153;n1;;I;1;SAO PAULO;SP;12/2015;1.472.990;1.115.502;434.191;364.043;1.038.799;8.142;686.968;53,51%;0,58%;0;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;;I;2;MEDIANEIRA;PR;12/2015;1.460.384;859.065;1.228.462;926.482;231.922;23.191;235.350;19,37%;16,76%;0;45
BCO DA CHINA BRASIL S.A. - PRUDENCIAL;1000081816;b1;;I;3;SAO PAULO;SP;12/2015;1.428.595;668.335;1.306.464;1.174.454;122.132;-17.166;240.915;24,33%;2,80%;1;1
RENDIMENTO - PRUDENCIAL;1000080659;b1;;C;2;SAO PAULO;SP;12/2015;1.402.913;378.565;1.177.041;635.363;225.871;21.147;218.232;14,46%;9,73%;12;1
CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB;5036532;b3C;;I;2;MARINGA;PR;12/2015;1.387.127;5.100;1.291.209;0;95.918;1.038;91.275;32,60%;25,25%;0;0
BCO ABN AMRO S.A. - PRUDENCIAL;1000081579;b1;;I;3;SAO PAULO;SP;12/2015;1.386.405;722.622;876.101;818.216;510.304;-6.828;509.506;61,34%;1,45%;2;0
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;;I;2;VITORIA;ES;12/2015;1.351.900;44.600;1.250.057;245.194;101.843;2.244;93.522;33,16%;17,41%;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;;I;2;CERRO LARGO;RS;12/2015;1.337.379;772.975;1.106.486;779.056;230.892;24.498;228.525;22,31%;13,29%;0;42
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2398976;b3S;;I;2;LONDRINA;PR;12/2015;1.304.135;611.677;927.307;849.397;376.828;30.133;376.828;20,48%;3,53%;0;25
