Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e) = (c) + (d);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
SCHAHIN;50191;b1;;C;2;SAO PAULO;SP;09/2010;NA;NA;183.621;87.674;271.295;1.853.025;0;0;55.825;194.243;250.068;479.270;2.582.363;NA;NA%;NA%;10,51%;NA%;7,71%
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;09/2010;NA;NA;236.839;100.273;337.112;2.411.389;0;0;567;209;775;156.766;2.568.930;NA;NA%;NA%;13,12%;NA%;20,07%
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;09/2010;NA;NA;260.908;115.387;376.296;2.381.525;0;0;0;0;0;136.884;2.518.409;NA;NA%;NA%;14,94%;NA%;1,08%
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;b1;;I;2;BRASILIA;DF;09/2010;NA;NA;275.530;38.874;314.404;2.297.833;0;0;27.268;0;27.268;123.230;2.448.331;NA;NA%;NA%;12,84%;NA%;21,46%
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;09/2010;NA;NA;819.171;457;793.190;2.086.555;0;0;0;0;0;302.805;2.389.360;NA;NA%;NA%;33,20%;NA%;39,83%
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;09/2010;NA;NA;448.157;0;448.157;2.163.205;3.481;0;0;0;3.481;173.503;2.340.189;NA;NA%;NA%;19,15%;NA%;0,07%
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;09/2010;NA;NA;392.105;62.149;454.255;2.213.725;0;0;0;0;0;111.805;2.325.530;NA;NA%;NA%;19,53%;NA%;3,32%
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;09/2010;NA;NA;355.775;4.732;360.507;1.779.005;0;0;350;12.280;12.630;387.139;2.178.774;NA;NA%;NA%;16,55%;NA%;12,61%
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;09/2010;NA;NA;428.137;4.266;432.403;1.992.994;0;0;27.213;4.240;31.453;144.976;2.169.423;NA;NA%;NA%;19,93%;NA%;3,03%
BBM;30207;b1;;C;2;SALVADOR;BA;09/2010;NA;NA;640.089;308;640.398;1.144.922;389.173;0;65.695;19.380;474.248;523.175;2.142.345;NA;NA%;NA%;29,89%;NA%;21,12%
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;09/2010;NA;NA;740.932;0;740.932;571.567;0;27.729;1.219.147;0;1.246.876;284.351;2.102.795;NA;NA%;NA%;35,24%;NA%;2,17%
JOHN DEERE;50071;b1;;C;3;PORTO ALEGRE;RS;09/2010;NA;NA;275.511;95.724;371.236;1.923.717;0;0;0;0;0;98.053;2.021.771;NA;NA%;NA%;18,36%;NA%;0,67%
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;09/2010;NA;NA;610.921;8;610.929;1.872.295;0;0;0;0;0;100.904;1.973.200;NA;NA%;NA%;30,96%;NA%;0,75%
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;09/2010;NA;NA;398.466;25.861;424.327;1.744.186;0;0;4.789;11.348;16.137;142.230;1.902.554;NA;NA%;NA%;22,30%;NA%;7,66%
CREDIT AGRICOLE;51066;b1;;C;3;SAO PAULO;SP;09/2010;NA;NA;785.205;15.508;800.712;1.748.434;0;0;25.109;0;25.109;127.362;1.900.906;NA;NA%;NA%;42,12%;NA%;1,89%
MATONE;32016;b1;;C;2;PORTO ALEGRE;RS;09/2010;NA;NA;222.358;0;170.911;1.656.499;176.481;0;20.141;6.843;203.464;12.954;1.872.917;NA;NA%;NA%;9,13%;NA%;73,18%
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;09/2010;NA;NA;501.819;66.117;554.571;1.698.422;0;0;0;0;0;155.448;1.853.870;NA;NA%;NA%;29,91%;NA%;4,16%
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;09/2010;NA;NA;1.056.951;1.384;858.334;1.501.539;0;0;4.031;0;4.031;279.948;1.785.518;NA;NA%;NA%;48,07%;NA%;2,95%
WESTLB;51554;b1;;I;3;SAO PAULO;SP;09/2010;NA;NA;501.205;3.360;504.565;1.233.040;315.994;0;45.155;0;361.148;139.058;1.733.245;NA;NA%;NA%;29,11%;NA%;0,28%
BANCO MODAL S.A.;30723886;b1;;I;2;RIO DE JANEIRO;RJ;09/2010;NA;NA;203.164;44.239;247.402;902.584;293.923;0;261.179;53.804;608.905;136.641;1.648.131;NA;NA%;NA%;15,01%;NA%;3,54%
BANCO STANDARD DE INVESTIMENTOS S.A.;4866275;b2;;I;3;SAO PAULO;SP;09/2010;NA;NA;315.099;696;315.795;757.252;0;0;697.799;6.676;704.475;139.645;1.601.371;NA;NA%;NA%;19,72%;NA%;1,70%
CAIXA ESTADUAL S.A. - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;09/2010;NA;NA;474.341;0;374.341;1.455.796;0;0;0;0;0;121.805;1.577.601;NA;NA%;NA%;23,73%;NA%;1,28%
