Instituição financeira;Código;TCB;TD;TC;Segmento;Cidade;UF;Data;Exportações;;Importações;;Total Primário Comercial;;Transferências do Exterior;;Transferências para o Exterior;;Total Primário Financeiro;;Total Primário;;Interbancário Compra;;Interbancário Venda;;Total Interbancário;;Total;;
;;;;;;;;;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor;N. Operações;Valor Total;
BANCO KEB HANA DO BRASIL S.A.;2.318.507;b1;I;3;2;SAO PAULO;SP;06/2016;1;1.099;32;23.759;33;24.858;123;78.808;394;20.052;517;98.860;550;123.718;32;25.426;26;61.538;58;86.964;608;210.682
OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;11.495.073;n2;I;2;16;SAO PAULO;SP;06/2016;3;32;105;1.855;108;1.887;2.997;9.636;5.693;40.481;8.690;50.117;8.798;52.004;4.562;94.418;198;61.649;4.760;156.066;13.558;208.071
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;11;PORTO ALEGRE;RS;06/2016;1.329;72.700;1.134;32.405;2.463;105.105;477;13.762;738;31.016;1.215;44.778;3.678;149.884;70;12.805;47;36.194;117;48.999;3.795;198.882
SOFISA;31.873;b1;C;2;199;SAO PAULO;SP;06/2016;294;75.123;306;15.246;600;90.368;43;3.833;278;4.296;321;8.129;921;98.497;31;14.214;31;81.121;62;95.335;983;193.832
ORIGINAL;51.781;b1;C;2;199;SAO PAULO;SP;06/2016;32;61.344;281;46.673;313;108.018;91;1.069;510;21.483;601;22.552;914;130.569;47;37.060;11;19.482;58;56.543;972;187.112
INDUSTRIAL DO BRASIL;50.988;b1;C;2;199;SAO PAULO;SP;06/2016;309;65.231;377;22.264;686;87.495;173;445;168;2.531;341;2.975;1.027;90.470;183;24.845;123;64.366;306;89.211;1.333;179.682
BBM;30.207;b1;C;2;199;SALVADOR;BA;06/2016;89;60.375;5;2.566;94;62.941;30;27.804;96;23.210;126;51.014;220;113.955;18;7.340;34;58.330;52;65.670;272;179.625
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55.230.916;b1;I;3;8;SAO PAULO;SP;06/2016;37;28.180;28;3.176;65;31.356;34;21.124;36;25.417;70;46.541;135;77.897;25;28.591;52;49.361;77;77.952;212;155.850
PAN;31.323;b1;C;2;199;SAO PAULO;SP;06/2016;22;5.270;0;0;22;5.270;39;6.007;111;63.774;150;69.781;172;75.051;3;61.810;14;16.750;17;78.560;189;153.611
LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.;50.579.044;n2;I;2;15;SAO PAULO;SP;06/2016;78;2.553;1.679;44.628;1.757;47.181;931;6.031;2.812;24.382;3.743;30.413;5.500;77.594;2.114;62.967;136;2.561;2.250;65.529;7.750;143.122
MODAL;51.963;b1;C;2;199;RIO DE JANEIRO;RJ;06/2016;8;15.553;117;6.320;125;21.873;70;35.057;257;20.945;327;56.003;452;77.876;16;19.310;19;44.528;35;63.838;487;141.714
S. HAYATA CORRETORA DE CÂMBIO S.A.;67.391.821;n2;I;2;21;SAO PAULO;SP;06/2016;23;430;1.005;42.047;1.028;42.477;234;1.984;2.094;25.179;2.328;27.163;3.356;69.640;2.087;68.435;52;3.628;2.139;72.063;5.495;141.703
GRACO CORRETORA DE CAMBIO S.A.;65.982.589;n2;I;2;21;POA;SP;06/2016;15;179;442;19.765;457;19.944;338;1.252;1.109;7.101;1.447;8.353;1.904;28.298;1.133;68.731;168;42.596;1.301;111.327;3.205;139.625
PINE;50.304;b1;C;2;199;SAO PAULO;SP;06/2016;30;26.808;19;29.614;49;56.422;14;35.826;124;14.555;138;50.381;187;106.802;9;25.679;6;5.670;15;31.349;202;138.152
ALFA;51.293;b1;C;2;199;SAO PAULO;SP;06/2016;23;4.007;17;1.246;40;5.253;40;31.847;116;31.372;156;63.219;196;68.472;14;33.109;13;36.017;27;69.126;223;137.598
GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.;33.918.160;n2;I;2;15;SAO PAULO;SP;06/2016;0;0;19;327;19;327;142;1.014;556;67.207;698;68.221;717;68.548;3.880;67.163;15;529;3.895;67.692;4.612;136.240
BANCO BPN BRASIL S.A.;61.033.106;b1;I;3;2;SAO PAULO;SP;06/2016;9;213;2;43;11;257;111;59.954;57;49.372;168;109.327;179;109.583;27;6.707;40;19.895;67;26.602;246;136.186
NOVO MUNDO CORRETORA DE CÂMBIO S.A.;8.609.934;n2;I;2;21;SAO PAULO;SP;06/2016;12;707;155;2.690;167;3.397;1.029;7.285;5.036;47.400;6.065;54.685;6.232;58.082;2.764;57.365;195;15.215;2.959;72.580;9.191;130.663
INDUSVAL;50.531;b1;C;2;199;SAO PAULO;SP;06/2016;141;27.289;57;3.569;198;30.858;58;3.748;226;17.839;284;21.588;482;52.445;62;28.636;78;44.643;140;73.280;622;125.725
GUITTA CORRETORA DE CAMBIO LTDA.;24.074.692;n2;I;2;21;SAO PAULO;SP;06/2016;141;2.841;2.165;41.308;2.306;44.149;560;9.778;2.066;16.580;2.626;26.358;4.932;70.507;1.331;49.645;65;4.346;1.396;53.991;6.328;124.498
BRX CORRETORA DE CÂMBIO LTDA.;17.904.906;n2;I;2;21;RIO DE JANEIRO;RJ;06/2016;0;0;7;104;7;104;412;3.533;1.199;33.558;1.611;37.091;1.618;37.194;3.240;52.215;183;22.109;3.423;74.324;5.041;111.518
BR PARTNERS;51.822;b2;C;2;198;SAO PAULO;SP;06/2016;34;30.608;2;10;36;30.618;6;25.045;103;2.921;109;27.966;145;58.584;8;1.675;18;51.012;26;52.687;171;111.271
TORRE CORRETORA DE CÂMBIO LTDA;57.582.264;n2;I;2;21;SAO PAULO;SP;06/2016;1;21;469;12.266;470;12.287;34;71;2.055;37.780;2.089;37.851;2.559;50.138;1.849;53.907;45;3.943;1.894;57.851;4.453;107.989
VISION S.A. CORRETORA DE CAMBIO;4.062.902;n2;I;2;21;SAO PAULO;SP;06/2016;74;822;968;19.379;1.042;20.201;282;2.781;1.724;23.101;2.006;25.882;3.048;46.084;4.405;40.429;101;1.552;4.506;41.981;7.554;88.065
GET MONEY CORRETORA DE CÂMBIO S.A.;10.853.017;n2;I;2;21;SAO PAULO;SP;06/2016;0;0;65;1.887;65;1.887;1.152;4.463;2.904;41.223;4.056;45.687;4.121;47.574;2.100;38.765;8;128;2.108;38.892;6.229;86.466
CONECTA CORRETORA DE CÂMBIO LTDA.;18.287.740;n2;I;2;21;SALVADOR;BA;06/2016;0;0;28;819;28;819;406;3.172;1.017;11.627;1.423;14.799;1.451;15.618;642;29.327;140;20.049;782;49.377;2.233;64.994
DOURADA CORRETORA DE CÂMBIO LTDA.;76.641.497;n2;I;2;21;CURITIBA;PR;06/2016;72;1.942;595;16.629;667;18.571;307;2.330;1.397;10.680;1.704;13.010;2.371;31.581;1.279;25.208;92;2.284;1.371;27.491;3.742;59.073
BANCO DE LA NACION ARGENTINA;33.042.151;b1;I;3;28;SAO PAULO;SP;06/2016;12;4.532;21;5.502;33;10.034;1.078;1.711;295;682;1.373;2.393;1.406;12.428;28;22.472;26;22.294;54;44.765;1.460;57.193
FOURTRADE CORRETORA DE CÂMBIO LTDA.;40.353.377;n2;I;2;21;RIO DE JANEIRO;RJ;06/2016;55;808;422;8.527;477;9.335;465;5.020;1.456;16.849;1.921;21.869;2.398;31.205;1.233;22.319;29;2.652;1.262;24.971;3.660;56.175
SLW CORRETORA DE VALORES E CÂMBIO LTDA.;50.657.675;n2;I;2;15;SAO PAULO;SP;06/2016;11;91;391;9.481;402;9.572;75;1.213;2.290;14.427;2.365;15.640;2.767;25.212;1.698;23.794;70;1.124;1.768;24.918;4.535;50.130
